id,x,y,z,vx,vy,vz,radius,density,pressure,frame
1,0,3.513,2.165,0,-0.344,-2.1,0.1,1002.813,-80.139,10
1,0,3.395,1.443,0,-0.352,-2.145,0.1,1012.491,-9.217,20
1,0,3.279,0.735,0,-0.35,-2.132,0.1,1019.795,47.074,30
1,0,3.147,0.522,-0.009,-0.717,0.033,0.1,1049.404,301.524,40
1,0.024,2.876,0.52,0.181,-1.152,-0.124,0.1,1021.419,59.921,50
2,0,3.599,2.183,0,-0.404,-2.163,0.1,987.828,-182.156,10
2,0,3.48,1.463,0,-0.347,-2.12,0.1,1013.601,-0.821,20
2,0,3.362,0.76,0,-0.362,-2.087,0.1,1005.618,-60.006,30
2,0,3.271,0.522,0.019,-0.211,0.007,0.1,1037.177,191.131,40
2,0.017,3.216,0.522,0.235,-0.191,0.038,0.1,1095.796,797.182,50
3,-0.07,3.559,2.19,0.042,-0.379,-2.167,0.1,987.836,-182.106,10
3,-0.07,3.44,1.469,-0.001,-0.348,-2.12,0.1,1013.625,-0.64,20
3,-0.067,3.323,0.766,0.016,-0.352,-2.088,0.1,1005.631,-59.907,30
3,-0.121,3.21,0.52,-0.438,-0.434,0.027,0.1,1026.846,103.757,40
3,-0.241,3.04,0.522,-0.206,-0.646,-0.013,0.1,1056.621,370.393,50
4,-0.07,3.479,2.203,0.041,-0.332,-2.175,0.1,987.862,-181.935,10
4,-0.07,3.36,1.482,-0.001,-0.349,-2.12,0.1,1013.619,-0.684,20
4,-0.067,3.246,0.779,0.016,-0.334,-2.091,0.1,1005.701,-59.403,30
4,-0.12,3.064,0.521,-0.354,-0.703,0.021,0.1,997.844,-114.994,40
4,-0.268,2.684,0.522,-0.457,-1.467,0.002,0.1,992.24,-153.07,50
5,0,3.439,2.209,0,-0.309,-2.178,0.1,987.817,-182.226,10
5,0,3.321,1.489,0,-0.349,-2.119,0.1,1013.641,-0.515,20
5,0,3.208,0.785,-0.001,-0.325,-2.093,0.1,1005.698,-59.427,30
5,-0.002,2.997,0.522,-0.058,-0.931,-0.075,0.1,1001.661,-88.317,40
5,-0.002,2.514,0.515,0.159,-1.877,-0.143,0.1,979.914,-232.404,50
